,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
6,0xfefe274a30a4a5a585bfcee777b78d7c72ae8b185de38b945a11810e98db5dfe,1972214,1469772071,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,391.780420000000000000,NULL,NULL,0
6,0xdaf43b4d7cf61aeb4a05d88259412148a253dc97ced41213f47571aa05caaefc,1972228,1469772318,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x9bdda248fd564dbda81e4c26bbd0dd5c653a5d03,391.780000000000000000,NULL,0x,0
7,0xfb424f2d7e219741284a6708174f0b0f4b6aa379a9abd65df79149a5c63afd05,1979918,1469882783,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,1599.037358600000000000,NULL,NULL,0
9,0x723c1a5e440a8f0b291c5036e1aad4e81852c973c45ae9c07d15d8afc26b3e69,1980076,1469885088,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2bfa78ff1a020d5b73e500ab2c9e3cbd632263fc,100.000000000000000000,NULL,0x,0
7,0x012fefa13c6f7f7086b86608f267da307890f1576991fa93d747fbec8d9f08b6,1980076,1469885088,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x9bdda248fd564dbda81e4c26bbd0dd5c653a5d03,15.190418600000000000,NULL,0x,0
8,0x84ced10f975b9c8931de32b5a2955d1363e873ac7b9416ee4a17b1750f298e72,1980076,1469885088,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x285e6696309d73cf70d61c46d2b8f8db0e54e929,36.852000000000000000,NULL,0x,0
10,0x407a1b9838139727ec30fce510bf2f7f4aa8d98edc0a849b9f0828557a39d0eb,1980076,1469885088,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xbd728b9e317d359f7289e7f33e2f0a67d2bd96ae,101.592000000000000000,NULL,0x,0
11,0x000a8598bdfaa1df869f4dd2cf849e180e80d484a1c585e76ebace7e85fa8473,1980076,1469885088,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xbd728b9e317d359f7289e7f33e2f0a67d2bd96ae,149.400000000000000000,NULL,0x,0
13,0xadc653f3065a0e2cbd48e3194409903e8927f492e66aed12b07df7ae8e370985,1980076,1469885088,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x9bdda248fd564dbda81e4c26bbd0dd5c653a5d03,996.000000000000000000,NULL,0x,0
12,0x4bd6c19e17728120057fcb6a73cfed157698b4c544c22cc52177f476f73156f1,1980076,1469885088,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xd1f647c106b7c9ed6fdb157979744c4acf521a40,200.000000000000000000,NULL,0x,0
8,0xd51bc1dab1d12f63853c995abb28b15d48ffd0271f66365cdd995de888f2ebbb,1995082,1470101378,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,260.657840000000000000,NULL,NULL,0
14,0x42e90b1892dca5d82e9db0a9837f3b19c8e899ff73f9bfb5a455f1e38164041c,1995468,1470106940,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xbc2ebfd76b87a568472622098bad3fff20e8cd7b,10.657000000000000000,NULL,0x,0
15,0xd4308b2885ec55a6c869830f7c32153997cde863cee4ea92a871a369e7c834ad,1995468,1470106940,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x3d3b7f03af553eb2db277547f921dfb7f651e76f,250.000000000000000000,NULL,0x,0
9,0x4524fef23bdd2751db743e399c6bfa6e2114adc83db4df31dd9815f65640b3d9,1996598,1470124328,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,35.909840000000000000,NULL,NULL,0
10,0x0f217fb47e27a649a64d46d59fed3e4050f046909f8798d851c290d90411c665,1997091,1470131329,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,19.011760600000000000,NULL,NULL,0
18,0x219d66089395997458f987615d201a477009861816d278948e144dbe9abbba89,1997242,1470133652,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xf848f0e547f5d107feb008d81fc62a347707f2d4,26.000000000000000000,NULL,0x,0
16,0xca4acab52feab21a84cffcb4e3c5756d783079d4305129586ef862420e41efcb,1997242,1470133652,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x5ce0b3bba2cf3a64114fc962852e2d9c87b92129,9.909000000000000000,NULL,0x,0
17,0xe35ff392a4f7dd57771504c5103677c37fa463ef5b85e06c4b6f0a83f0f4a539,1997242,1470133652,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x1c19f1e5f4644886c63b90194d9bc3ad59a9b3ca,19.011340600000000000,NULL,0x,0
11,0xc70f5ea7004382f64b4317b45c32b97ee8ece47300de3ec7ce1e7994d40a28a4,2000826,1470185622,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,105.000840000000000000,NULL,NULL,0
19,0xcf25098134f9a37d744b62129e93d8c9c4a340fd7db56b79429ff2d96340f331,2000849,1470185894,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x44bdb6da594fb475a0a7766cc2f3488008f8f303,5.000000000000000000,NULL,0x,0
20,0xfd1961fbb24fd4a6488b791077adcab33bad7e86804139494a682160754d31df,2000849,1470185894,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xa0377e33a83df726ac454b092bf84ad5f368c975,100.000000000000000000,NULL,0x,0
12,0xd10c237157c6af0c04acce273fef4fde185cff27ac194de290a687d9eb148425,2002294,1470207112,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,50.000420000000000000,NULL,NULL,0
21,0x8485d8c1bafbd509175fbce1eea5a325ce34b4eaea58a03b5629d638eba5ca92,2002300,1470207208,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2f6c40dcb59b6b04a045e9e754138e654cd9dbac,50.000000000000000000,NULL,0x,0
13,0x02502ac15d99fa4ba55e5178a09cd2a4aad238e87164f4cb3c89ed5df5edde64,2006566,1470268579,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,50.000420000000000000,NULL,NULL,0
22,0xfabc81be63ed678f3d9b489755bcc5e3d281c798a1995f4dfe8b6e33d939a26f,2006628,1470269285,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x6e1f96042499bfc3999ab7cbaa650ee1d297a620,50.000000000000000000,NULL,0x,0
14,0xceb75c637fdf47aa8c6b01d144154631727e339e7f600aeb2ccd88a750a6e635,2007414,1470280566,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.060840000000000000,NULL,NULL,0
24,0x735ff83aca234c0da8903bcf8fae44b633dabe5fd21d6804f2c5cf69f72a6a10,2007426,1470280702,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x3c55971a261189bd44d2a651a5386344b5f607ee,0.050000000000000000,NULL,0x,0
23,0x3be49fbe5f2cc4f3392cbef1ad8078504ce1e4770c7241c56240b6dec45b1789,2007426,1470280702,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x87641fcd1c5e8e263827485ef5bf1d5233437948,0.010000000000000000,NULL,0x,0
15,0x042164317f3483cf2bbad4ff23f58a02945a98b9afea40a13fdcf1ad673d609f,2008454,1470294102,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,30.010840000000000000,NULL,NULL,0
26,0x33715ac594f1a263c2341c3dba3e4d173d455fcd13603c93f5aa366a9011a361,2008783,1470299162,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x1959a01a3f26b6bbd2f23da11f664056ae0fd64c,30.000000000000000000,NULL,0x,0
25,0x8ff20771a9f97807dbc984c0c673e77ff9301ea24ecc49255986aab5d367d5c4,2008783,1470299162,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x753a2b83a8a85c3e3c9b7b7894118054288da110,0.010000000000000000,NULL,0x,0
16,0x9519575902a40b532daf0249efef0d96ab47f8c94a4e09459b0d002c628c0690,2008915,1470300940,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.010420000000000000,NULL,NULL,0
27,0x711bbe28df80a299335a0fa84e2349d9f5e2d9f5d49975e87eee3c13554389b3,2008921,1470301013,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x661862e28110bcd33777681817e8abf82df74d7f,0.010000000000000000,NULL,0x,0
17,0x8b7a3816ccc73c83512f2b026bb33d1bf6f0eaf8c3171d1ae5cc989fc696025c,2009309,1470306253,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.010420000000000000,NULL,NULL,0
28,0x46bdf84784620ca231b6c4b9c9bfa371b5eced25b6d5c855f52b3e3d8f293d5c,2009314,1470306331,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x1a95f9ce5e02d4daf2f5be7d0378f433d423974c,0.010000000000000000,NULL,0x,0
18,0x2ba1706c63f95e033dfcbed9a0e9f80c142c0b5b8423f0e27a23fec2a85f3bd3,2010284,1470320024,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,69.000840000000000000,NULL,NULL,0
30,0xcd9073eca59bb2db8963098e8376de304b579b66e1a702224c917175ea3b639f,2010415,1470321979,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x50f1b6e2db87362176aad65a84807deaa8a65a9b,43.000000000000000000,NULL,0x,0
29,0x407bf12a297caadd96818063bf1678d0e04261f7ce121a7671e253b02514bf8c,2010415,1470321979,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x5f60a8ccaa24b0e9e5f297d4cdd0b7cf5f3a1f4e,26.000000000000000000,NULL,0x,0
19,0x23e97831b8e8a82036c413185085c0aeb00bf359b6026eb46b009ede7836b5be,2020732,1470469070,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,2042.130260000000000000,NULL,NULL,0
33,0x0d505f1821f0b1c807a06a3fbca23e45ef89775ef361256b576023a24181ee81,2020737,1470469138,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x716b12661173097974c6fbf3cb23759f6bc0a06d,1942.119000000000000000,NULL,0x,0
32,0x694fc2564012219906ec21a1b68b012be863205b7f60a143b66650dec79f20d2,2020737,1470469138,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xf112f6fc92c20fe16b4adfed8ac8f12f92c97abf,100.000000000000000000,NULL,0x,0
31,0x5e68ea0f4a409a67f45e408ac237df3a1eebb37023f5153c088080edfa9d2206,2020737,1470469138,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x51349760d4a5287dbfa3961ca2e0006936bc9d88,0.010000000000000000,NULL,0x,0
20,0x94006836403b6047fa77e3a25fdce65a802c19e98fc1b8dbcd5318c290c81b64,2027507,1470566275,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,30.000420000000000000,NULL,NULL,0
34,0x6ec924e0c861c4beee57176f010e5947d5e03ad92b0301212d9cb97d025beca2,2027525,1470566513,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2515469c0db257e26fd5be1632e2d3b4b58ead5a,30.000000000000000000,NULL,0x,0
21,0x8120553943c540f450fbcabc37f8dac53e2c944584b5684f1056650b68ad1e0f,2029005,1470586807,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,1.000420000000000000,NULL,NULL,0
35,0xb4722fdbe49f59071d967b6e65dfdb99c9a153afb1cea67e253e5bb1e15e167a,2029009,1470586873,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x54ed3ce756ec6da36f0ac8d41a7589aaf1d260fd,1.000000000000000000,NULL,0x,0
22,0x257577045eaa0f873a9c024f0e836f6b61a0f2b3074ee8f47a6e26d9dd507697,2030925,1470614801,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,1.010420000000000000,NULL,NULL,0
36,0x3ddcba1e1f049eb4bc8ae11394337e892447bcd8a3f76fbc0d95ad6bf6a5995c,2031264,1470619401,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x66f579dd50e68398e0ca3503ed1031d8f5624346,1.010000000000000000,NULL,0x,0
23,0x735186bef84ded02d1bd130b99ee77d57f419d6bd133bb427a6e2808299f606b,2037080,1470702474,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,30.000420000000000000,NULL,NULL,0
37,0x4b5d16b5908c191267e2d4b8c231487386effc544b7ba3a558a996c667ea4354,2037096,1470702688,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2515469c0db257e26fd5be1632e2d3b4b58ead5a,30.000000000000000000,NULL,0x,0
24,0xce65dea83126595aa7d186ff62508cfe8a9ce2ed217dcd6fbd15da9c70cc8779,2037673,1470711183,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,120.005980000000000000,NULL,NULL,0
39,0x5b01b9d906e1b0b42f565fafea6e487e141f2fa10c5db3523882c8ae45a0194f,2037678,1470711233,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x3e1ee3495e27a8b6365d819ec43358e9bf73daed,60.000000000000000000,NULL,0x,0
38,0xbd380611a5d88c688e72b5f30886c0c51e05731df0a46ac2226f61ce89e65418,2037678,1470711233,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xfa935aa06319ce72ecc46ebd34201fe5f105f79b,0.004720000000000000,NULL,0x,0
40,0xb48eb9e56a219b5bb3eda6ed687d2e180ae391000827e9e5be75bfe1ada7f7be,2037678,1470711233,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x9758c3852525b52628caaa56f9770a13fdf9bb8f,60.000000000000000000,NULL,0x,0
25,0x714092bcbb0890c3bd3e810174a6e495b7bc9278d7a6c75bc9ee3f078aac046f,2040847,1470755497,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,26.001150450000000000,NULL,NULL,0
41,0xa1f17b38608cf45553720c9612dcfd2615ab91b90cbaba34b2220544aa341bd1,2040874,1470756028,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2bf1aaf7e155bff61ad0dda05ae0cf9f6f33ffdc,0.009889850000000000,NULL,0x,0
42,0x17b71d1c0eb1cf6678a569cd8633cd53d475099021fc6aee3d50d236168ddacf,2040874,1470756028,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xd267790914c3d5510b482eae06d1ecb825b2a401,1.000000000000000000,NULL,0x,0
43,0x3003f2309b984d0958a70fc9cc50a99b3936cb0eccb86563af650f961a2eb79f,2040874,1470756028,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x29c9bfca9aa25d72393d5e8e59fc95a72996d71f,24.990000600000000000,NULL,0x,0
26,0x3c372e51c79ab3c85c089ee426311d8967a809585b11c20e5d9e1d1066af7540,2040941,1470756881,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,6.932420000000000000,NULL,NULL,0
44,0x7e6886bf7e20321d98f06bd4a91f6f2521b754288103c6164c7242afa30c5207,2040947,1470757000,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x19b6b72389b178675f7b664ca3618d9db281c7e8,6.932000000000000000,NULL,0x,0
27,0xc414e700f35104f7e00ee6aad29fa607d4027131f0d104b40a8115db34659c00,2043671,1470795599,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,1261.485086610000000000,NULL,NULL,0
52,0x433037beff2c77545a175b8c2c1121dc5aa6cb52adc15e323624482b825fe3a0,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xe457a187d86d7d88319b929e659faa267ed6c824,169.980000000000000000,NULL,0x,0
51,0x80a258bb4ce137d0b86276e7c9482555be56879f469e569e2735e1206eb6dd98,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x9758c3852525b52628caaa56f9770a13fdf9bb8f,60.000000000000000000,NULL,0x,0
50,0x260e3bbfcba1b86c0bfa1583fcbadbcbfe2c280292412d57a2aca73fcb7fc6da,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x3e1ee3495e27a8b6365d819ec43358e9bf73daed,60.000000000000000000,NULL,0x,0
49,0x1205f2399ae3dd8ea544f147de1a4b8a980ef041d696ea524a79e5087414c271,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x1cfb966ad28327d17982b10b81f0e57e296d8933,1.095600000000000000,NULL,0x,0
54,0x263f95486fe2ca4af92a6943b8944ea247b80de59cdfdc6600fff497813d8d36,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xd267790914c3d5510b482eae06d1ecb825b2a401,199.200000000000000000,NULL,0x,0
47,0xcc3f3500764c1b631e27fc5c2af21cad6ce643c4490a43300fd973f5e1d78c28,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2c00570674e00fd15bccb03f1d7ea0e0a67306ce,1.000000000000000000,NULL,0x,0
45,0x4f4760cd4201354caa006bbe85d0c074e6b31a48401afb29756280826c93aa45,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2bf1aaf7e155bff61ad0dda05ae0cf9f6f33ffdc,0.007411320000000000,NULL,0x,0
53,0x09ba0f570d1fbb4757406bf3d7ab4bb4cdab9cef569aaaecc3419c9e990d1a53,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x9bdda248fd564dbda81e4c26bbd0dd5c653a5d03,187.864118200000000000,NULL,0x,0
48,0xf4f4210f7c442b82daf0929d58cbe81471635126b6dbe864fadfdcce32259b8d,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x210365e5d1d9bb1a703f3808e1971c47b2dd9874,1.000000000000000000,NULL,0x,0
55,0x2c237a810d7909584d7f5fe856440fd54fbd24acb48788c2526ab0b4be6aa7f7,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xd267790914c3d5510b482eae06d1ecb825b2a401,580.333337090000000000,NULL,0x,0
46,0xfb22dba95da1350bb54190b1847e34b7d7b9a83cc30a0ab51ce80829e29e5bfd,2043677,1470795763,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2c00570674e00fd15bccb03f1d7ea0e0a67306ce,1.000000000000000000,NULL,0x,0
28,0x70cc2c163743e8696fab175718dbc1ad17d8171cbab26e6e3ad487ad87f560fd,2043967,1470799824,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.100420000000000000,NULL,NULL,0
56,0x46b0d587e68455eaf81ae2f8969d5a09810f090db9360a3401c1a7b4d530bd76,2043971,1470799882,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2c00570674e00fd15bccb03f1d7ea0e0a67306ce,0.100000000000000000,NULL,0x,0
29,0x6851d87f5344b60478700a82bdc201da355c3d6752dc91094c8eeb50c3695b5e,2044422,1470806540,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.086020000000000000,NULL,NULL,0
57,0x338cf56554d9dbcf1fe8563a7888ed2f0ad7a7e1f12fbb76ded06795bcbed852,2044426,1470806707,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x6dfc016e82081a1633a13ba0b40eeb9db20a76e2,0.085600000000000000,NULL,0x,0
30,0x9db856b46a58dbeef7245944a92f1de3478a9e189af0d9ba486e86d8013acf60,2048980,1470871366,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,8.351240000000000000,NULL,NULL,0
58,0xaddfb176ec1e06862d39fec5764f9a3ec487741db55e726f31a473d3eea10bd6,2048986,1470871417,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2f6c40dcb59b6b04a045e9e754138e654cd9dbac,0.370000000000000000,NULL,0x,0
61,0x37f471e4fd81851570d3f7a5a4fa4f0d49776d88796fe8009c370c5fc1fe973a,2048986,1470871417,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x0ac9f5bd77ebd51da1787fcd561fbcab147db204,4.980000000000000000,NULL,0x,0
60,0xdbb533c3145ec7beb9e01098130fb924231fbede8b2887e9d59bd1f1491410e7,2048986,1470871417,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x0e8a3b74f3ed18b2661452d9ecdc56fef1e40695,2.599560000000000000,NULL,0x,0
59,0xd9e31d9b5a1d045b37ffea98cab29041ff57d96570a14d33caae96695514fd7d,2048986,1470871417,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2f6c40dcb59b6b04a045e9e754138e654cd9dbac,0.400000000000000000,NULL,0x,0
31,0x67e767446dd63c5e672377c989a9f511ba8473b5f9fc39fadc8eb66f11d41596,2049684,1470880993,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,2.257308750000000000,NULL,NULL,0
62,0x78cdf9165197bc791cb5b5d588e37a2eb88c64da293964f8cc35be484663897f,2049698,1470881154,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x7806cc2697ae69b2be7edec7e04066e12a83bca5,2.256888750000000000,NULL,0x,0
32,0x23b44c21e2f4e1438dff7548c905835292438df384a60123aec0544f28d9b4bd,2053096,1470929560,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,500.000840000000000000,NULL,NULL,0
64,0xc224def654875b233987035330787e21362dffda46390814807f0c5e115c4938,2053101,1470929623,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x38a9be3372d8d6f1f35fd54f034533cf173bda3f,300.000000000000000000,NULL,0x,0
63,0xfce001d0b1e139de4978516fdbb5765dfa3ee03dccfffa5bbafdc64dfbd5f9c0,2053101,1470929623,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2c00570674e00fd15bccb03f1d7ea0e0a67306ce,200.000000000000000000,NULL,0x,0
33,0x987b40929bf6fcde5a14877eb80e8f88637dc4b2de4ba49874900a9bd1d143f1,2054977,1470956619,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.569580000000000000,NULL,NULL,0
67,0xa5cb089488254d501a8d7a1870a26e417442b3fe8e1faaa34ec23963987da271,2054981,1470956691,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2f6c40dcb59b6b04a045e9e754138e654cd9dbac,0.418320000000000000,NULL,0x,0
66,0x545e2f707b8de95b5384d23cf4c52a2284664c2a3f2d61f7ec0f296ad74b9b95,2054981,1470956691,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xab7f51eb47d83d7a088dd8c9fd34d32534bbd4b2,0.100000000000000000,NULL,0x,0
65,0xf7b7ff40bfeb041b94e857abaa68c8e4586205ef1987f82acadff0a16ded7df5,2054981,1470956691,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x618b5b4761e03c976a9a06c0b2dbf6fc490d888c,0.050000000000000000,NULL,0x,0
